Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Otto Kemp",2025,"FA,FC,FS,SI,CH,SL,CU,KC",530,0.21739130434782608,0.45652173913043476,0.32608695652173914,0.06666666666666667,0.13333333333333333,352,178,530,-2.732701790528302,3.849693831094339,8.305003015094341,"Otto Kemp","31792",805249
"Brandon Marsh",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC",1323,0.27312775330396477,0.41409691629955947,0.31277533039647576,0.1267605633802817,0.1267605633802817,844,479,1323,-2.9890150555026453,4.370193368488281,8.489753024943306,"Brandon Marsh","20202",669016
"Carson McCusker",2025,"FA,FC,FS,CH,SL,KC",27,0,1,0,0,0,15,12,27,-3.520532481481482,5.482788074074074,8.448120000000001,"Carson McCusker","33098",676812
"Greg Allen",2025,"FA,FC,SI,CH,SL,KC",52,0,0.6666666666666666,0.3333333333333333,0,0,36,16,52,-3.6473446346153846,3.4980595653846156,8.88452230769231,"Greg Allen","16623",656185
"Luis Campusano",2025,"FA,FC,SI,CH,SL,CU,KC",42,0,1,0,0,0,24,18,42,-0.3362227380952378,2.5840839476190482,8.019908690476191,"Luis Campusano","22217",669134
"Nick Ahmed",2025,"FA,FC",9,0,0,1,1,0,5,4,9,-3.2655733333333337,7.601537777777777,9.297890000000002,"Nick Ahmed","12147",605113
"Leo Jiménez",2025,"FA,FC,SI,CH,SL,CU",38,0.375,0.375,0.25,0,0,29,9,38,-3.518178281578948,4.665537876315789,8.810136052631577,"Leo Jimenez","23782",677870
"César Salazar",2025,"FA,FC,FS,CH,SL,EP",27,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0,16,11,27,-5.601922592592592,7.090242962962963,10.518141481481482,"Cesar Salazar","21587",663967
"Buddy Kennedy",2025,"FA,FC,SI,CH,SL,CU",37,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0,24,13,37,-3.3623277027027023,3.680390864864865,7.366419351351352,"Buddy Kennedy","22505",671083
"Jhostynxon Garcia",2025,"FA,SI,CH,SL",8,1,0,0,0,0,6,2,8,-5.147681249999999,1.9300875000000004,11.36866,"Jhostynxon Garcia","28142",691373
"David Villar",2025,"FA,FS,SI,CH,SL,KC",24,0,1,0,0,0,11,13,24,-4.2630213333333336,5.5014347374999994,9.959369583333332,"David Villar","24782",681584
"Nick Solak",2025,"FA,FS,SI,SL",12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,9,3,12,-4.288740833333333,6.156354166666667,9.871799166666667,"Nick Solak","19294",669256
