Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Alek JacobNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,3,1225,605,0%,5.0,0,6,5.4,1.4,0,
"Daniel EspinoNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,5,1189,606,0%,5.0,0,9,5.4,1.6,0,
"Kai-Wei TengPlayer Note HOU - P L, 2-5 vs BAL",BAL,FA,23,1174,607,2%,64.0,0,63,4.36,1.36,2,
"Luke LittleNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,1,1202,608,0%,1.0,0,1,9.0,2.0,0,
"Carter BaumlerIL60No new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,4,1190,609,0%,5.2,0,6,3.18,1.76,0,
"Alan RangelPlayer Note PHI - P L, 1-6 vs NYM",NYM,FA,5,1193,610,1%,19.1,0,22,4.19,1.4,0,
"Joe La SorsaNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,1,1325,613,0%,0.1,0,1,27.0,3.0,0,
"Trevor McDonaldPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,13,1198,614,8%,66.1,0,54,5.02,1.3,5,
"Kumar RockerPlayer Note TEX - P L, 5-8 @ ATL",@ ATL,FA,18,1488,615,9%,90.0,0,80,4.4,1.37,4,
"Blas CastañoIL15No new player Notes COL - P Top 8, 3-9 vs CIN",CIN,FA,10,1168,616,0%,20.2,0,17,3.92,1.35,0,
"Chayce McDermottNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,2,1427,617,0%,2.1,0,1,7.71,1.29,0,
"Cody LawerysonNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,15,612,618,0%,16.2,1,18,4.86,1.38,0,
"Jordan HicksNo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,29,1540,619,0%,26.2,1,30,3.71,1.54,0,
"Carlos RodriguezNANew Player Note MIL - P W, 3-1 vs MIA",MIA,FA,4,1306,620,0%,9.1,0,8,3.86,1.5,0,
"Luis SeverinoIL60New Player Note ATH - P Top 5, 1-4 vs WSH",WSH,FA,12,1364,621,6%,62.2,0,65,4.16,1.47,3,
"Hunter GreenePlayer Note CIN - P Top 8, 9-3 @ COL",@ COL,Stealth Bomber,2,393,622,82%,10.1,0,19,6.97,1.45,1,
"David SandlinNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,4,731,623,1%,19.1,0,20,6.05,1.29,2,
"Matt FestaNo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,41,529,624,0%,39.2,1,41,4.31,1.36,0,
"Cal QuantrillPlayer Note TEX - P L, 5-8 @ ATL",@ ATL,FA,20,1513,625,1%,50.1,0,31,3.93,1.29,1,
"Jack FlahertyPlayer Note DET - P Bot 4, 1-1 @ LAA",@ LAA,No Longer Rowdy,18,644,626,61%,82.1,0,98,4.48,1.41,2,
"Jonah TongNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,3,1246,627,3%,10.0,0,7,3.6,1.5,0,
"John KleinNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,3,1201,628,0%,4.1,0,2,4.15,1.62,0,
"Max RajcicIL60No new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,6,1206,629,0%,9.0,0,8,5.0,1.33,0,
"Gregory SantosNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,3,1268,630,0%,5.0,0,1,3.6,1.6,0,
"Logan AllenNANew Player Note CLE - P L, 1-7 vs PIT",PIT,FA,2,1304,631,1%,7.1,0,10,2.45,2.05,0,
"Jeff CriswellIL15Player Note COL - P Top 8, 3-9 vs CIN",CIN,FA,3,1199,632,0%,4.0,0,3,4.5,1.75,0,
"Tony SantillanIL15Player Note CIN - P Top 8, 9-3 @ COL",@ COL,FA,34,509,633,5%,31.0,5,28,5.23,1.39,0,
"Winston SantosNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,1,1208,634,0%,2.0,0,1,9.0,1.5,0,
"Hunter StrattonNAPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,3,1262,636,0%,3.1,0,3,5.4,1.8,0,
"Tim HillPlayer Note NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,43,517,637,1%,36.0,0,17,4.5,1.11,0,
"Matt PushardNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,6,1218,638,0%,7.0,0,6,5.14,1.43,0,
"Anthony MolinaNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,3,1477,639,0%,5.0,0,2,5.4,1.4,0,
"Bruce ZimmermannNAPlayer Note STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,1,1273,640,0%,5.0,0,2,5.4,1.4,0,
"Jalen BeeksIL15No new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,29,534,641,0%,26.0,0,21,3.81,1.38,0,
"Drey JamesonNo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,10,1238,642,0%,15.1,0,11,4.11,1.37,0,
"Hunter HarveyIL60No new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,4,636,643,0%,4.0,0,4,6.75,1.5,0,
"Reiver SanmartinNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,2,699,644,0%,3.1,0,4,8.1,1.5,0,
"Shawn ArmstrongNo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,35,441,645,2%,30.2,0,31,4.4,1.34,0,
"Taylor RashiNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,3,730,646,0%,3.2,0,4,9.82,1.09,0,
"Chris DevenskiIL60No new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,3,1152,647,0%,2.1,0,3,7.71,2.14,0,
"Casey LeguminaNo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,32,1209,648,0%,40.1,0,28,4.02,1.29,0,
"Nick RaquetNAPlayer Note BAL - P W, 5-2 @ HOU",@ HOU,FA,4,1207,649,0%,3.2,0,1,7.36,1.36,0,
"Brycen MautzNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,1,1227,651,0%,3.0,0,2,6.0,2.0,0,
"Kade StrowdNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,1,681,652,0%,1.0,0,1,9.0,4.0,0,
"Nolan HoffmanNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,3,1296,653,0%,4.2,0,2,3.86,1.93,0,
"Andrew AlvarezNo new player Notes WSH - P Top 5, 4-1 @ ATH",@ ATH,FA,13,596,654,3%,49.0,1,53,4.04,1.45,0,
"Spencer StriderIL60Player Note ATL - P W, 8-5 vs TEX",TEX,Tm Mndlsn nd Mtchn,8,344,656,55%,39.0,0,46,5.31,1.36,2,
"JR RitchieNew Player Note ATL - P W, 8-5 vs TEX",TEX,W (Jul 21),12,1248,657,4%,50.1,1,45,4.29,1.39,1,
"Justin BruihlNo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,43,1369,658,0%,47.2,0,32,3.59,1.36,0,
"Chase SoleskyNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,1,1233,659,0%,3.0,0,4,6.0,2.33,0,
"Lucas SimsNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,9,1459,660,0%,10.0,0,10,4.5,1.6,0,
"Dietrich EnnsNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,13,573,661,0%,16.0,0,13,3.94,1.5,0,
"Joey EstesNANo new player Notes ATH - P Top 5, 1-4 vs WSH",WSH,FA,1,1417,662,0%,4.1,0,4,8.31,1.38,0,
"Mitch KellerPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,19,230,663,27%,103.1,0,77,5.14,1.33,9,
"Sammy PeraltaNANo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,2,1373,664,0%,2.2,0,4,10.13,1.88,0,
"Grant WolframNo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,36,1214,665,0%,28.2,0,32,4.71,1.36,0,
"Max LazarNo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,5,1323,666,0%,6.1,0,4,7.11,1.26,0,
"Kyle HurtNANew Player Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,32,595,667,0%,31.1,1,38,4.88,1.40,0,
"Craig KimbrelNo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,28,1215,668,0%,29.0,0,27,4.66,1.31,0,
"Jake BirdNANew Player Note NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,35,1357,669,0%,30.0,0,30,4.50,1.37,0,
"Brady SingerPlayer Note CIN - P Top 8, 9-3 @ COL",@ COL,Stealth Bomber,19,384,670,18%,96.2,0,82,4.56,1.41,6,
"Trevor MartinNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,6,1249,671,0%,11.1,0,7,3.97,1.59,0,
"Jonathan CannonNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,1,1498,672,0%,0.0,0,0,-,-,0,
"Kody FunderburkNo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,26,1162,673,0%,24.1,1,16,4.07,1.44,0,
"Anthony KayPlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,20,618,674,10%,93.1,0,76,4.24,1.37,3,
"Robert GasserNew Player Note MIL - P W, 3-1 vs MIA",MIA,Fightin Farmers,9,1237,675,13%,46.1,0,43,5.24,1.27,2,
"Lucas ErcegPlayer Note KC - P L, 2-19 vs SD",SD,FA,39,364,676,17%,38.0,12,27,5.21,1.63,0,
"Robby SnellingIL60No new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,1,1250,677,2%,5.0,0,2,5.40,1.80,0,
"Cade PovichNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,4,1502,678,0%,19.1,0,12,5.12,1.34,1,
"Josh SimpsonNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,4,1422,679,0%,3.0,0,3,9.00,2.00,0,
"Chase LeeNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,3,696,681,0%,3.1,0,1,8.10,1.80,0,
"Drew SommersNo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,17,1374,682,0%,10.0,0,15,5.40,1.70,0,
"Patrick SandovalNew Player Note BOS - P W, 6-1 vs TB",TB,FA,2,1299,683,5%,9.1,0,10,4.82,1.71,0,
"Connor PrielippIL15No new player Notes MIN - P L, 1-10 @ CHC",@ CHC,Detroit Fastballs,13,1363,684,5%,66.2,0,71,5.00,1.37,3,
"Emiliano TeodoNAPlayer Note TEX - P L, 5-8 @ ATL",@ ATL,FA,1,1261,685,0%,1.2,0,1,10.80,3.00,0,
"Roki SasakiPlayer Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,17,330,686,33%,86.2,0,85,4.98,1.34,4,
"Landon KnackPlayer Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,1,1278,687,0%,3.0,0,2,9.00,2.00,0,
"Carson PalmquistNo new player Notes WSH - P Top 5, 4-1 @ ATH",@ ATH,FA,6,1539,688,0%,9.2,0,12,6.52,1.45,0,
"Jameson TaillonIL15Player Note CHC - P W, 10-1 vs MIN",MIN,FA,13,550,689,8%,67.2,0,59,5.19,1.3,4,
"Michael RuckerNo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,13,1277,690,0%,13.2,0,14,5.27,1.46,0,
"Mitch FarrisNo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,19,1410,691,0%,40.1,0,40,3.79,1.49,0,
"Mitch BrattPlayer Note AZ - P Bot 4, 0-5 vs STL",STL,FA,2,1271,692,1%,6.0,0,3,6.0,1.67,0,
"Hayden JuengerNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,2,1274,695,0%,2.0,0,0,13.5,2.0,0,
"Chris MurphyNo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,21,585,696,0%,21.2,1,21,4.57,1.52,0,
"Connor ThomasNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,1,1438,697,0%,3.2,0,2,9.82,1.64,0,
"Joel KuhnelIL15No new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,35,1219,698,1%,35.1,6,22,4.84,1.47,0,
"Andrew NardiIL60No new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,25,607,699,0%,22.2,0,27,5.16,1.41,0,
"Domingo GonzálezNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,5,1288,700,0%,7.2,0,5,4.7,1.83,0,
"Ryan WatsonNo new player Notes BOS - P W, 6-1 vs TB",TB,FA,31,1243,701,0%,50.2,1,40,4.62,1.28,0,
"Bennett SousaIL60Player Note HOU - P L, 2-5 vs BAL",BAL,FA,5,552,702,0%,3.1,0,4,8.1,2.4,0,
"Edwin DíazIL60Player Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",Joey Spierer's Team,7,360,703,83%,6.0,4,10,10.5,2.33,0,
"Mason FluhartyNo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,50,531,705,1%,37.2,1,45,4.54,1.49,0,
"Janson JunkPlayer Note MIA - P L, 1-3 @ MIL",@ MIL,Detroit Fastballs,12,609,706,4%,65.0,0,48,4.57,1.31,2,
"Beau BrieskeNANew Player Note DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,8,1403,707,0%,9.1,0,8,6.75,1.39,0,
"Luis GastelumNo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,4,1200,708,0%,3.2,0,4,9.82,1.91,0,
"Isaac MattsonNo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,33,652,709,0%,31.2,0,28,4.26,1.42,0,
"Wyatt MillsNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,5,1294,710,0%,4.1,0,4,6.23,2.31,0,
"Ethan RobertsIL15Player Note CHC - P W, 10-1 vs MIN",MIN,FA,23,1325,711,0%,25.2,0,17,4.21,1.4,0,
"Mason BlackNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,12,1341,713,0%,17.2,0,15,3.57,1.7,0,
"Sean ManaeaNew Player Note NYM - P W, 6-1 @ PHI",@ PHI,FA,21,373,715,15%,79.2,0,81,4.74,1.36,2,
"Ian HamiltonNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,4,1266,716,0%,4.2,0,4,7.71,1.93,0,
"Johan OviedoIL60Player Note BOS - P W, 6-1 vs TB",TB,FA,1,1213,717,0%,3.2,0,3,9.82,1.91,0,
"Geoff HartliebNew Player Note ATH - P Top 5, 1-5 vs WSH",WSH,FA,4,1384,718,0%,8.2,0,3,5.19,1.62,0,
"Rolddy MuñozNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,1,1365,721,0%,2.0,0,3,13.5,3.0,0,
"Jordan RomanoPlayer Note COL - P Top 8, 3-9 vs CIN",CIN,FA,15,1449,722,5%,11.2,6,17,7.71,2.14,0,
"Codi HeuerNANew Player Note CLE - P L, 1-7 vs PIT",PIT,FA,8,1330,724,0%,9.2,0,6,4.66,1.76,0,
"Cade GibsonNo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,19,560,725,0%,25.0,0,23,5.04,1.36,0,
"Jordan LeasureIL60No new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,18,559,726,0%,18.2,0,18,6.27,1.23,0,
"Brent SuterNo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,36,1401,727,0%,55.1,0,48,4.55,1.3,0,
"Tristan BeckNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,8,1300,728,0%,10.2,1,5,6.75,1.41,0,
"Eric LauerNo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",Cash is King,15,534,729,13%,76.2,0,47,4.81,1.28,4,
"Will DionNew Player Note CLE - P L, 1-7 vs PIT",PIT,FA,7,1343,730,0%,12.1,0,14,5.11,1.7,0,
"Joe RockNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,4,1271,731,0%,10.1,0,12,3.48,2.13,0,
"JP SearsNew Player Note SD - P W, 19-2 @ KC",@ KC,FA,4,1288,733,3%,19.2,0,17,5.03,1.42,0,
"Ken WaldichukIL60No new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,5,1312,734,0%,9.1,0,8,6.75,1.5,0,
"Mason EnglertNAPlayer Note TB - P L, 1-6 @ BOS",@ BOS,FA,14,1335,736,0%,35.2,1,32,4.54,1.43,0,
"Zach McCambleyNANo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,FA,4,1305,737,0%,4.1,0,4,6.23,2.54,0,
"John BrebbiaNAPlayer Note COL - P Top 8, 3-9 vs CIN",CIN,FA,3,1460,738,0%,4.1,0,2,10.38,1.62,0,
"Wilber DotelPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,9,1237,739,0%,18.1,0,19,5.89,1.36,0,
"Cole WilcoxNo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,15,1383,740,0%,18.0,0,18,4.0,1.72,0,
"Aaron BrooksNA60No new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,1,1324,743,0%,0.1,0,0,81.0,9.0,0,
"Brandon PfaadtNew Player Note AZ - P Bot 4, 0-5 vs STL",STL,Cookie Monster ,17,1407,744,15%,59.0,0,44,4.58,1.31,1,
"Garrett CrochetIL60Player Note BOS - P  W, 6-1 vs TB",TB,Stealth Bomber,6,138,745,94%,30.0,0,37,6.3,1.47,3,
"Adam MackoNAPlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,19,1159,746,0%,19.2,0,21,5.03,1.53,0,
"Justin SlatenPlayer Note BOS - P W, 6-1 vs TB",TB,FA,27,693,747,2%,23.1,0,32,5.4,1.5,0,
"Blake SnellIL60New Player Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",The Eds,1,208,749,79%,3.0,0,5,12.0,2.67,0,
"Kyle HartPlayer Note SD - P W, 19-2 @ KC",@ KC,FA,24,1398,750,0%,34.0,0,28,5.82,1.15,0,
"Camilo DovalNo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,40,528,753,3%,35.1,1,35,5.09,1.39,0,
"J.P. FranceNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,3,1316,754,0%,6.2,0,4,8.1,1.65,0,
"Ryne StanekNo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,41,1314,756,2%,36.2,1,40,4.66,1.5,0,
"Tomoyuki SuganoNew Player Note COL - P Bot 8, 3-9 vs CIN",CIN,FA,17,1251,757,3%,90.2,0,51,4.76,1.29,5,
"Mike ParedesNo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,8,1341,758,0%,31.1,0,19,4.6,1.34,0,
"Christian RoaNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,7,1317,760,0%,8.2,0,6,5.19,1.96,0,
"Lyon RichardsonNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,2,1445,761,0%,1.2,0,3,27.0,2.4,0,
"Antwone KellyNAPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,2,1337,762,0%,4.1,0,1,10.38,1.85,0,
"Joel PayampsNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,12,1438,763,0%,7.2,0,9,8.22,1.7,0,
"Corbin MartinNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,7,1394,764,0%,5.0,1,4,10.8,2.0,0,
"Cam SandersNANew Player Note BAL - P W, 5-2 @ HOU",@ HOU,FA,11,1412,765,0%,11.0,1,15,7.36,1.73,0,
"Bryan AbreuNo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,35,374,766,18%,32.0,5,40,5.63,1.63,0,
"Richard LoveladyIL15New Player Note WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,33,1297,769,1%,30.1,4,27,3.86,1.81,0,
"Gavin CollyerNAPlayer Note TEX - P L, 5-8 @ ATL",@ ATL,FA,23,1281,770,0%,23.0,0,22,5.09,1.48,0,
"Philip AbnerPlayer Note AZ - P Bot 4, 0-5 vs STL",STL,FA,4,1368,771,0%,7.1,0,4,8.59,1.5,0,
"Jonathan HeasleyIL60No new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,1,1357,772,0%,4.0,0,2,11.25,2.0,0,
"Luis GilNA7No new player Notes NYY - P L, 2-8; 7:20 pm","LAD,LAD",FA,4,1218,773,3%,19.1,0,9,6.05,1.34,1,
"Ben CaspariusIL60No new player Notes LAD - P W, 8-2; 7:20 pm","@ NYY,@ NYY",FA,5,1262,774,0%,4.2,0,4,9.64,2.14,0,
"Nick MearsIL60Player Note KC - P L, 2-19 vs SD",SD,FA,21,566,776,0%,19.1,0,15,5.12,1.5,0,
"Austin WarrenIL15No new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,26,1211,778,0%,35.0,0,37,4.63,1.49,0,
"Josh FlemingNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,1,1355,779,0%,3.0,0,1,12.0,2.67,0,
"Andrew WantzNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,1,1349,780,0%,1.2,0,1,27.0,2.4,0,
"Luis MeyNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,7,1348,781,0%,8.2,0,14,7.27,1.96,0,
"Brandon SproatPlayer Note MIL - P W, 3-1 vs MIA",MIA,W (Jul 21),18,1425,782,18%,82.0,0,87,5.16,1.37,3,
"TJ ShookNAPlayer Note COL - P Bot 8, 3-9 vs CIN",CIN,FA,4,1350,783,0%,5.2,0,6,9.53,1.94,0,
"Kyle BackhusNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,17,1336,784,0%,15.1,0,15,5.87,1.57,0,
"Osvaldo BidoNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,11,1496,785,0%,18.2,1,11,6.27,1.34,0,
"Angel ZerpaIL60No new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,12,1352,787,0%,12.2,2,8,6.39,1.74,0,
"Seth JohnsonPlayer Note PHI - P L, 1-6 vs NYM",NYM,FA,12,1273,788,0%,13.1,0,16,6.75,1.58,0,
"Alex LangePlayer Note KC - P L, 2-19 vs SD",SD,FA,38,249,789,17%,39.0,8,37,6.0,1.51,0,
"Freddy PeraltaPlayer Note NYM - P W, 6-1 @ PHI",@ PHI,Rafael Devers,20,135,790,88%,104.1,0,104,4.66,1.44,4,
"Justin VerlanderIL60No new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,No Longer Rowdy,1,1437,791,3%,3.2,0,1,12.27,2.18,0,
"Slade CecconiNo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,19,1415,792,8%,99.0,0,77,4.55,1.41,5,
"Yunior MarteNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,1,1380,793,0%,0.1,0,1,108.0,12.0,0,
"Coleman CrowNAPlayer Note MIL - P W, 3-1 vs MIA",MIA,FA,5,1369,794,0%,18.2,0,10,5.3,1.45,0,
"Will VestIL60New Player Note DET - P Top 5, 1-1 @ LAA",@ LAA,FA,27,463,795,3%,26.2,2,27,6.08,1.43,0,
"Noah CameronPlayer Note KC - P L, 2-19 vs SD",SD,NY Bombsquad,18,193,796,25%,95.2,0,91,4.89,1.42,5,
"Brandon LeibrandtNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,1,1370,798,0%,6.0,0,3,7.5,2.17,0,
"Travis AdamsNo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,18,1481,799,0%,24.2,2,32,6.2,1.54,0,
"Cole SulserNo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,38,1217,800,1%,42.1,2,45,5.31,1.42,0,
"Danny CoulombeNANew Player Note BOS - P W, 6-1 vs TB",TB,FA,29,1142,801,0%,22.0,0,10,4.5,1.5,0,
"Peyton PalletteNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,16,1303,802,0%,20.2,0,22,5.23,1.6,0,
"Yaramil HiraldoNAPlayer Note BAL - P W, 5-2 @ HOU",@ HOU,FA,3,1387,804,0%,1.2,0,2,21.6,4.2,0,
"Jaden HillIL15No new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,32,1363,806,0%,26.2,2,28,5.06,1.65,0,
"Edward CabreraIL15Player Note CHC - P W, 10-1 vs MIN",MIN,FA,14,176,807,42%,72.1,0,65,5.1,1.4,4,
"Cole WinnNo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,36,510,808,0%,33.1,1,33,5.94,1.32,0,
"Jose CorniellPlayer Note TEX - P L, 5-8 @ ATL",@ ATL,FA,1,1411,809,0%,3.1,0,3,13.5,2.7,0,
"Shaun AndersonNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,9,1448,810,0%,16.2,0,12,5.94,1.5,0,
"David MorganIL15Player Note SD - P W, 19-2 @ KC",@ KC,FA,18,664,811,0%,22.0,0,26,4.5,1.77,0,
"Luis CastilloPlayer Note SEA - P Bot 4, 2-2 vs SF",SF,The Eds,18,387,813,66%,87.2,0,81,4.93,1.37,3,
"Jake IrvinIL60Player Note WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,11,1573,814,1%,51.2,0,58,5.23,1.35,0,
"Ryan GustoNo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,10,1527,815,0%,28.2,0,25,5.02,1.47,0,
"Brendan BeckNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,2,1382,816,0%,6.2,0,4,9.45,1.8,0,
"Jose CabreraNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,4,1386,817,0%,17.2,0,12,5.6,1.53,0,
"Valente BellozoNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,3,1483,819,0%,10.2,0,8,7.59,1.59,0,
"Eli MorganPlayer Note KC - P L, 2-19 vs SD",SD,FA,16,1462,820,0%,19.1,1,16,5.12,1.71,0,
"Carlos CarrascoNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,8,1547,822,0%,16.2,0,7,5.94,1.44,0,
"Nick LodoloIL15Player Note CIN - P  Bot 8, 9-3 @ COL",@ COL,Stealth Bomber,12,158,823,64%,62.2,0,50,4.6,1.47,3,
"José SuarezNo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,32,1315,824,0%,51.1,1,56,4.56,1.52,0,
"Brady BassoPlayer Note ATH - P Top 5, 1-5 vs WSH",WSH,FA,5,1397,825,0%,5.1,0,4,10.13,2.25,0,
"Cody BoltonNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,8,1431,826,0%,20.0,1,22,5.4,1.75,0,
"Ryan BoruckiNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,21,1381,827,0%,23.2,0,15,4.94,1.52,0,
"Jedixson PaezNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,3,1398,828,0%,3.0,0,0,18.0,2.33,0,
"Josh WhiteNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,1,1395,829,0%,0.2,0,1,67.5,7.5,0,
