Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Robert SuarezIL15Player Note ATL - P W, 8-5 vs TEX",TEX,FA,31,304,183,47%,32.0,4,26,0.56,0.84,0,
"Steven OkertNo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,48,402,185,5%,48.2,0,50,2.22,0.82,0,
"Max FriedIL15Player Note NYY - P  L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",Cash is King,10,131,187,98%,61.2,0,50,3.21,1.01,6,
"Brandon WoodruffIL60Player Note MIL - P W, 3-1 vs MIA",MIA,FA,9,195,190,60%,45.1,0,47,2.98,0.84,3,
"Taj BradleyNew Player Note MIN - P L, 1-10 @ CHC",@ CHC,Tm Mndlsn nd Mtchn,19,306,191,78%,107.2,0,124,3.85,1.25,8,
"Josh HaderPlayer Note HOU - P L, 2-5 vs BAL",BAL,Cash is King,18,107,192,92%,16.1,10,28,1.1,0.86,0,
"Rico GarciaNo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,45,351,193,22%,42.0,4,43,2.57,0.86,0,
"Eury PérezNew Player Note MIA - P  L, 1-3 @ MIL",@ MIL,Tm Mndlsn nd Mtchn,16,336,194,90%,85.2,0,95,3.78,1.14,6,
"Luke WeaverNo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,38,403,196,15%,40.0,1,43,2.03,0.83,0,
"Shota ImanagaPlayer Note CHC - P W, 10-1 vs MIN",MIN,Fightin Farmers,19,87,201,89%,108.0,0,105,4.17,1.12,7,
"Cade CavalliPlayer Note WSH - P Top 5, 2-1 @ ATH",@ ATH,The Eds,21,379,203,40%,104.2,0,119,3.78,1.31,9,
"Kevin KellyNo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,42,411,204,17%,46.1,4,34,2.33,0.91,0,
"Colin HoldermanPlayer Note CLE - P L, 1-7 vs PIT",PIT,FA,36,433,206,5%,36.1,1,40,1.73,0.85,0,
"José SorianoPlayer Note LAA - P Bot 4, 1-1 vs DET",DET,NY Bombsquad,20,150,207,84%,111.0,0,115,3.49,1.29,7,
"Connelly EarlyIL15Player Note BOS - P W, 6-1 vs TB",TB,No Longer Rowdy,17,225,208,48%,91.2,0,93,3.44,1.25,7,
"Clay HolmesIL60Player Note NYM - P W, 6-1 @ PHI",@ PHI,Trust The Process,9,366,209,28%,52.2,0,45,2.39,1.1,4,
"Grant TaylorNew Player Note CWS - P W, 3-0 @ TOR",@ TOR,Joe Byron,36,289,210,23%,48.1,4,67,2.79,1.1,0,
"Andrés MuñozNo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,Detroit Fastballs,38,163,211,94%,35.1,16,53,4.08,1.25,0,
"Kevin GausmanPlayer Note TOR - P L, 0-3 vs CWS",CWS,Ranger danger,20,71,214,95%,112.1,0,116,4.33,1.22,10,
