"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
51,693459,"Fedko, Kyler",78,65.4,0,0,0,0,0.127,0.144,0.019,0,9,94,20,2274,89.6,89.46,11,27,24,-0.09999999999999432,6.28,109,152,120,147,300,326,286,"1.716","-1.716","70.9","6.6","3.109396179",11,3,0,0,0,0,6,54.5,2,18.2,"2.17","0.72","0.34","-0.34","91.4",155,66.66666666666666,0,0,5.62,1.81,0.13,2.34,0.182,0,"-3.364705882",0.198,0.028,"3.364705882",-0.019,-0.016000000000000014,-0.028,-0.017,40.7,"40.3",10.083780874985091,-0.7720214250779511,31.391608752422975,0.5555555555555556,37.85621714217679,32.386757049451724
51,670224,"Misner, Kameron",185,27.6,0.154,0.077,0.25,0.231,0.165,0.185,0.189,2,13,79.6,20.3,2240,87.7,87.79,10,27,24,0.09999999999999432,6.38,112,142,101,148,294,327,302,"1.274","-1.274","70.0","7.1","1.479486126",13,8,1,1,0,0,5,38.5,0,0,"2.51","0.49","0.03","0.03","89.1",178,12.5,0,0,5.74,2.2,-0.33,2.22,0.154,0,"-2.498039216",0.189,0.234,"2.498039216",-0.035,-0.035,-0.003,-0.02,37,"36.5",7.4410102403578176,-3.8831999873363863,36.59078081614547,0.37037037037037035,36.89585303317716,34.89107550790705
51,687529,"McCray, Grant",198,25.8,0.111,0,0.25,0.111,0.249,0.268,0.138,1,9,79.8,-6.3,2294,89.3,89.77,9,18,33,0.5,6.69,111,146,106,151,290,329,304,"0.815","-0.815","64.9","6.6","4.21709108",12,4,1,0,0,0,5,41.7,3,25,"2.14","0.76","0.13","0.13","88.7",126,0,0,0,5.66,1.79,-0.52,2.29,0.333,0,"-1.598039216",0.353,0.151,"1.598039216",-0.027,-0.019999999999999962,-0.04,-0.019,50,"42.9",2.0325987593161785,10.014739536579025,29.919362145846485,0.4117647058823529,40.12089904233972,24.323831339253335
50,640492,"Azócar, José",69,72.5,0.333,0.167,0.444,0.5,0.358,0.289,0.294,4,12,88.5,8.7,2208,88.1,89.09,7,29,21,1,6.75,104,153,110,148,312,322,286,"0.267","-0.267","66.8","6.8","3.210166122",12,9,2,2,0,0,3,25,0,0,"2.44","0.51","0.27","-0.27","90.4",156,33.33333333333333,0,0,5.61,2.37,-0.15,2.31,0.333,0,"-0.534",0.294,0.369,"0.534",0.039,0.039000000000000035,0.131,0.069,24.1,"34.9",5.1211528422999875,-2.5037545224462843,36.94783662976229,0.38461538461538464,33.56794351479574,29.482254543956966
49,694388,"Loperfido, Joey",479,10.2,0.071,0,0.091,0.071,0.064,0.221,0.21,1,14,91.3,22.9,2315,86.2,86.45,6,29,20,0.20000000000000284,6.56,124,148,112,152,289,327,305,"2.993","-2.993","67.4","7.9","2.070575872",14,11,1,0,0,0,3,21.4,0,0,"2.55","0.59","0.16","0.16","91.9",154,45.45454545454545,9.090909090909092,7.142857142857142,5.59,2.88,-0.12,2.07,0.071,1,"-6.108163265",0.21,0.3,"6.108163265",-0.139,-0.139,-0.229,-0.157,20.7,"33.4",17.180808891014983,2.3921090772838394,38.31738867443593,0.32142857142857145,40.66959187480041,30.57170796031744
49,608841,"Meneses, Joey",76,64.5,0.231,0,0.25,0.231,0.256,0.385,0.363,3,13,96.5,5.4,2204,88.6,88.33,4,23,26,-0.29999999999999716,6.11,106,153,127,147,305,326,293,"0.823","-0.823","70.5","7.2","2.88103258",16,12,3,0,0,0,2,12.5,1,6.3,"2.32","0.64","0.47","-0.47","95.5",129,75,0,0,5.92,2.3,0.16,2.62,0.313,0,"-1.679591837",0.428,0.428,"1.679591837",-0.132,-0.11499999999999999,-0.197,-0.129,17.4,"40.2",9.394909651280283,-5.654905400371263,32.26546189134986,0.47619047619047616,37.992560730924545,30.705892606345962
48,669087,"Huff, Sam",124,38.7,0.167,0.083,0.4,0.25,0.179,0.119,0.104,2,12,92.9,4.4,2064,86.7,87.14,14,28,20,0.3999999999999915,6.64,105,153,124,147,302,323,299,"0.552","-0.552","71.0","8.0","6.621702883",12,5,1,1,0,0,7,58.3,0,0,"2.31","0.78","0.54","-0.54","93.3",158,80,20,8.333333333333332,5.91,1.65,-0.09,2.26,0.167,1,"-1.15",0.104,0.176,"1.15",0.063,0.06300000000000001,0.074,0.06,50,"41.5",14.93559661044739,-17.380095791623834,31.172654523771296,0.35714285714285715,37.76986586676476,39.568582540699595
48,691785,"Mayer, Marcelo",836,5.7,0.5,0.5,0.462,1,0.598,0.367,0.294,8,16,90.6,13.5,2341,87.7,87.48,9,27,21,-0.20000000000000284,6.11,114,145,112,148,288,327,304,"-4.382","4.382","72.7","8.0","5.053532331",17,15,4,2,0,2,2,11.8,0,0,"2.52","0.49","0.26","0.26","94.4",230,53.333333333333336,13.333333333333334,11.76470588235294,5.64,2.2,-0.07,2.19,0.471,2,"9.129166667",0.289,0.59,"-9.129166667",0.206,0.182,0.41,0.231,33.3,"35.6",9.72194709355821,-9.910826323088697,32.12213797138566,0.3333333333333333,34.09834017752528,33.5200551819058
48,677950,"Thomas, Alek",353,13.6,0.2,0.133,0.273,0.333,0.259,0.228,0.176,3,15,89.8,14.2,2407,90.4,90.21,9,26,22,-0.20000000000000284,6.26,121,149,102,151,284,315,302,"1.067","-1.067","61.0","6.5","2.867254182",16,11,1,2,0,0,4,25,0,0,"2.3","0.53","0.2","0.2","92.2",158,45.45454545454545,9.090909090909092,6.25,5.81,2.24,-0.18,2.13,0.25,1,"-2.222916667",0.228,0.279,"2.222916667",0.024,0.021999999999999992,0.054,0.031,34.6,"41.3",7.52898990322887,-0.7487526017364081,27.667456653053186,0.6,35.96312432499184,31.014786172690126
47,682927,"Simon, Ronny",129,36.4,0.2,0,0.25,0.2,0.178,0.355,0.319,2,10,95.8,19.4,2118,89,89.86,2,29,18,0.9000000000000057,6.78,104,148,116,148,312,320,279,"1.293","-1.293","67.4","6.8","0.1",10,8,2,0,0,0,2,20,0,0,"2.26","0.67","0.64","-0.64","91.7",182,62.5,12.5,10,5.63,2.37,0.13,2.35,0.2,1,"-2.75106383",0.319,0.508,"2.75106383",-0.119,-0.119,-0.308,-0.177,6.9,"36.0",-0.39674745920313814,-6.285283181924196,25.500103678611573,0.4642857142857143,32.65698872558326,29.62305285133965
