Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Isaac ParedesNew Player Note HOU - 1B,3B 9:40 pm @ ATH",@ ATH,,Fightin Farmers,152,162,73,73%,144/551,66,24,93,0,0.804,
Manny MachadoPlayer Note SD - 3B 9:40 pm vs AZ,AZ,,No Longer Rowdy,155,77,75,97%,125/578,81,29,87,5,0.709,
"Jonathan ArandaPlayer Note TB - 1B  Bot 3, 2-0 @ PHI",@ PHI,,Cash is King,152,174,76,84%,157/571,73,22,92,0,0.793,
"Carson BengePlayer Note NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,Joe Byron,153,124,78,65%,160/583,83,19,63,22,0.757,
Ivan HerreraPlayer Note STL - C 7:40 pm @ MIL,@ MIL,,Stealth Bomber,158,268,81,89%,145/594,96,18,68,8,0.738,
Nick KurtzIL60Player Note ATH - 1B  9:40 pm vs HOU,HOU,,Ranger danger,99,11,82,62%,90/352,62,21,69,7,0.879,
William ContrerasNew Player Note MIL - C 7:40 pm vs STL,STL,,Tm Mndlsn nd Mtchn,145,51,83,98%,151/558,82,18,93,1,0.76,
"Carter JensenPlayer Note KC - C Top 1, Delay vs CLE",CLE,,Ranger danger,147,321,86,69%,122/519,77,25,76,2,0.771,
"Kody ClemensPlayer Note MIN - 1B,2B,OF 8:10 pm vs TEX",TEX,,Cash is King,142,295,87,49%,122/519,73,26,76,9,0.751,
"Ian HappNew Player Note CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,Tm Mndlsn nd Mtchn,153,110,89,75%,119/537,89,24,68,4,0.749,
"Jac CaglianonePlayer Note KC - 1B,OF  Top 1, Delay vs CLE",CLE,,Trust The Process,140,157,91,70%,141/499,70,23,71,7,0.82,
"Dillon DinglerPlayer Note DET - C Bot 1, 0-0 vs PIT",PIT,,Joey Spierer's Team,143,132,93,76%,132/542,71,27,89,0,0.754,
Jake BurgerPlayer Note TEX - 1B 8:10 pm @ MIN,@ MIN,,Stealth Bomber,152,229,95,26%,125/544,70,27,89,4,0.724,
"Zack GelofNew Player Note ATH - 2B,3B,OF 9:40 pm vs HOU",HOU,,Joey Spierer's Team,108,261,96,53%,99/382,74,22,54,16,0.81,
"Ronald Acuña Jr.Player Note ATL - OF  Bot 1, 0-0 @ MIA",@ MIA,,Ranger danger,105,53,97,99%,104/399,61,20,55,21,0.813,
Julio RodríguezNew Player Note SEA - OF 10:10 pm vs LAA,LAA,,The Eds,148,6,98,98%,147/587,69,22,70,22,0.718,
Kyle TuckerPlayer Note LAD - OF  10:15 pm @ SF,@ SF,,Cash is King,151,30,99,96%,124/528,88,17,70,12,0.722,
"Dansby SwansonNew Player Note CHC - SS L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,NY Bombsquad,124,239,100,59%,91/421,81,19,69,17,0.704,
"Cody BellingerNew Player Note NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,NY Bombsquad,131,46,101,98%,131/492,73,17,73,12,0.774,
"Brooks LeePlayer Note MIN - 2B,3B,SS 8:10 pm vs TEX",TEX,,Detroit Fastballs,153,350,103,58%,146/573,72,24,83,8,0.736,
Freddie FreemanPlayer Note LAD - 1B 10:15 pm @ SF,@ SF,,Ranger danger,151,35,106,97%,167/572,74,16,70,7,0.801,
"Colson MontgomeryPlayer Note CWS - 3B,SS  7:40 pm vs COL",COL,,Joey Spierer's Team,150,130,107,81%,112/559,71,31,87,1,0.696,
"Trea TurnerPlayer Note PHI - SS Bot 3, 0-2 vs TB",TB,,Cash is King,154,33,109,97%,151/631,100,19,58,21,0.673,
"Liam HicksNew Player Note TB - C,1B Bot 3, 2-0 @ PHI",@ PHI,,Cookie Monster ,140,154,111,70%,132/469,65,18,82,3,0.797,
"Ezequiel DuranNo new player Notes TEX - 1B,2B,3B,SS,OF 8:10 pm @ MIN",@ MIN,,Cookie Monster ,150,233,112,73%,137/528,71,17,83,11,0.742,
"Michael BuschNew Player Note CHC - 1B L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,NY Bombsquad,157,76,113,81%,141/590,77,20,77,3,0.744,
Josh BellPlayer Note MIN - 1B 8:10 pm vs TEX,TEX,,Ranger danger,151,354,114,29%,143/560,76,20,92,2,0.733,
Ketel MartePlayer Note AZ - 2B  9:40 pm @ SD,@ SD,,Cash is King,138,29,116,95%,137/549,76,22,75,4,0.751,
"Gunnar HendersonPlayer Note BAL - SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,The Eds,157,45,117,96%,139/618,88,24,59,10,0.715,
"José RamírezPlayer Note CLE - 3B  Top 1, Delay @ KC",@ KC,,Fightin Farmers,123,101,118,99%,110/464,68,12,51,37,0.696,
Ty FrancePlayer Note SD - 1B 9:40 pm vs AZ,AZ,,NY Bombsquad,130,405,121,32%,127/429,56,21,70,1,0.869,
Jeremy PeñaNew Player Note HOU - SS  9:40 pm @ ATH,@ ATH,,Rafael Devers,109,137,125,84%,118/431,77,20,51,12,0.79,
"Ceddanne RafaelaNew Player Note BOS - 2B,OF W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Cash is King,137,114,126,79%,152/539,67,16,70,17,0.76,
"Chase MeidrothDTDNew Player Note CWS - 2B,3B,SS 7:40 pm vs COL",COL,,Detroit Fastballs,153,231,127,47%,155/564,90,16,63,4,0.763,
"Ozzie AlbiesPlayer Note ATL - 2B Bot 1, 0-0 @ MIA",@ MIA,,Cookie Monster ,159,94,129,91%,146/606,85,22,73,4,0.695,
"Spencer TorkelsonPlayer Note DET - 1B  Top 2, 0-0 vs PIT",PIT,,Trust The Process,156,259,130,45%,118/518,64,25,74,1,0.753,
"Caleb DurbinNo new player Notes BOS - 2B,3B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Tm Mndlsn nd Mtchn,151,269,131,37%,125/500,74,13,64,20,0.717,
"JJ WetherholtPlayer Note STL - 2B,3B,SS  7:40 pm @ MIL",@ MIL,,Tm Mndlsn nd Mtchn,137,83,132,84%,130/529,89,17,51,14,0.715,
Christian WalkerNew Player Note HOU - 1B 9:40 pm @ ATH,@ ATH,,Joey Spierer's Team,153,111,133,73%,125/561,69,27,84,0,0.71,
"Bryson StottPlayer Note PHI - 2B,3B,SS Bot 3, 0-2 vs TB",TB,,Trust The Process,152,326,134,55%,131/526,69,10,66,26,0.718,
