Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Jacob GonzalezPlayer Note PIT - 1B,2B,3B,SS Top 2, 0-0 @ DET",@ DET,,FA,79,1701,1132,1%,45/204,20,6,30,2,0.626,
"Kyle IsbelNew Player Note KC - OF Top 1, Delay vs CLE",CLE,,FA,98,1638,1133,1%,63/287,31,6,24,6,0.585,
"Carlos CorreaIL60Player Note HOU - 3B,SS 9:40 pm @ ATH",@ ATH,,FA,32,1614,1134,9%,34/122,22,3,16,1,0.787,
"Petey HalpinPlayer Note CLE - OF Top 1, Delay @ KC",@ KC,,FA,80,1689,1135,0%,39/174,27,4,13,10,0.589,
Alejandro OsunaNo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,81,1658,1136,0%,51/198,26,1,24,5,0.645,
"Matt VierlingIL60No new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,92,1703,1137,0%,55/266,24,5,31,4,0.59,
"Connor WongNo new player Notes BOS - C W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,74,1702,1138,0%,48/205,22,4,24,3,0.656,
"Thomas SaggesePlayer Note STL - 2B,3B,SS,OF 7:40 pm @ MIL",@ MIL,,FA,54,1682,1139,23%,36/151,25,4,13,4,0.666,
"Zach McKinstryPlayer Note DET - 2B,3B,SS,OF Top 2, 0-0 vs PIT",PIT,,FA,127,1627,1140,2%,74/368,42,4,26,3,0.583,
"Colt EmersonIL60No new player Notes SEA - 3B,SS 10:10 pm vs LAA",LAA,,Joe Byron,69,362,1141,5%,42/221,24,8,23,3,0.581,
"Jasson DomínguezNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,57,1612,1142,5%,47/209,22,6,14,8,0.635,
"Marcell OzunaNANo new player Notes PIT - Util Top 2, 0-0 @ DET",@ DET,,FA,70,335,1143,3%,51/251,22,8,29,0,0.613,
"Jahmai JonesNo new player Notes BOS - OF W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,92,1694,1144,0%,33/155,19,6,16,3,0.684,
"Sung-Mun SongNo new player Notes SD - 2B,3B,SS 9:40 pm vs AZ",AZ,,FA,76,1722,1145,0%,23/126,20,1,16,13,0.521,
"David FryNo new player Notes CLE - 1B,OF Top 1, Delay @ KC",@ KC,,FA,89,1731,1147,0%,34/176,22,7,18,0,0.658,
Luis LaraPlayer Note MIL - OF 7:40 pm vs STL,STL,,FA,59,1695,1148,2%,46/184,25,1,25,3,0.646,
"Brice MatthewsIL10Player Note HOU - 2B,OF 9:40 pm @ ATH",@ ATH,,FA,84,1712,1149,0%,43/214,23,7,22,4,0.587,
"Nick AllenNo new player Notes HOU - 2B,3B,SS 9:40 pm @ ATH",@ ATH,,FA,92,1669,1150,0%,40/144,25,3,14,2,0.705,
Kyle HigashiokaIL10No new player Notes TEX - C 8:10 pm @ MIN,@ MIN,,FA,56,1679,1152,0%,36/165,20,7,18,0,0.676,
Adael AmadorPlayer Note COL - 2B 7:40 pm @ CWS,@ CWS,,FA,24,1723,1153,1%,21/73,17,4,14,0,0.887,
"Roman AnthonyNew Player Note BOS - OF  W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Tm Mndlsn nd Mtchn,52,178,1154,85%,48/204,21,5,15,2,0.701,
"Isiah Kiner-FalefaNo new player Notes BOS - 2B,3B,SS W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,64,1640,1156,1%,37/156,21,2,16,8,0.62,
"Josh SmithPlayer Note TOR - 1B,2B,3B,SS,OF Bot 1, 2-0 vs CIN",CIN,,FA,77,1652,1157,1%,42/205,23,6,15,4,0.617,
"Wenceel PérezIL60No new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,53,1674,1158,0%,29/161,22,7,17,3,0.594,
Danny JansenNo new player Notes TEX - C 8:10 pm @ MIN,@ MIN,,FA,64,1709,1159,0%,36/186,18,6,23,1,0.641,
Joey WiemerNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,32,1718,1160,1%,20/70,16,3,12,1,0.912,
"Adolis GarcíaIL60No new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,Rafael Devers,67,286,1162,11%,45/231,21,7,21,3,0.599,
"Anthony SeiglerIL10No new player Notes BOS - 2B,3B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,49,1726,1163,0%,37/150,21,3,13,2,0.727,
"James OutmanNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,94,1738,1164,0%,27/157,23,5,17,6,0.553,
"Nicky LopezNo new player Notes TEX - 2B,3B,SS 8:10 pm @ MIN",@ MIN,,FA,97,1678,1166,0%,62/230,24,1,24,5,0.629,
"Davis SchneiderPlayer Note TOR - 2B,OF Bot 1, 2-0 vs CIN",CIN,,FA,67,1727,1168,0%,18/120,20,5,15,1,0.629,
"Weston WilsonNo new player Notes SEA - 2B,3B,OF 10:10 pm vs LAA",LAA,,FA,70,1713,1169,0%,33/157,22,4,13,6,0.609,
Jorge BarrosaPlayer Note HOU - OF 9:40 pm @ ATH,@ ATH,,FA,102,1745,1170,0%,28/141,29,2,12,3,0.628,
"Tristan GrayNANo new player Notes MIN - 2B,3B,SS 8:10 pm vs TEX",TEX,,FA,66,1706,1172,0%,39/173,16,4,29,2,0.591,
Alex CallNo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,86,1685,1173,0%,37/160,24,1,19,1,0.649,
"Graham PauleyNo new player Notes MIA - 1B,3B Bot 1, 0-0 vs ATL",ATL,,FA,61,1721,1175,0%,29/138,15,4,25,1,0.634,
"Blaze JordanIL10Player Note STL - 1B,3B 7:40 pm @ MIL",@ MIL,,FA,58,1716,1176,1%,46/186,16,3,28,0,0.658,
"Blake DunnIL60No new player Notes CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,FA,38,1707,1177,0%,40/142,20,2,7,6,0.722,
"Bryan TorresNo new player Notes STL - 2B,OF 7:40 pm @ MIL",@ MIL,,FA,73,1736,1178,0%,38/164,17,4,19,2,0.643,
Christian VázquezNo new player Notes HOU - C 9:40 pm @ ATH,@ ATH,,FA,86,1728,1179,0%,50/242,22,7,25,1,0.583,
"Luisangel AcuñaNo new player Notes CWS - 2B,SS,OF 7:40 pm vs COL",COL,,FA,101,1661,1180,1%,46/205,21,1,12,17,0.517,
"Brendan DonovanIL7No new player Notes SEA - 2B,3B,SS,OF 10:10 pm vs LAA",LAA,,The Eds,39,1637,1181,35%,38/137,12,3,15,1,0.78,
Nelson VelázquezNo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,50,1780,1182,0%,19/100,12,6,18,0,0.662,
"LaMonte Wade Jr.Player Note HOU - 1B,OF 9:40 pm @ ATH",@ ATH,,FA,54,1751,1185,0%,26/126,17,4,19,0,0.655,
"Christian KossPlayer Note SF - 2B,3B,SS 10:15 pm vs LAD",LAD,,FA,67,1686,1187,5%,44/193,27,4,12,5,0.591,
Daniel SusacIL60No new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,53,1739,1188,0%,35/144,11,3,22,2,0.664,
Leo BernalPlayer Note STL - C 7:40 pm @ MIL,@ MIL,,FA,21,1732,1189,13%,24/85,10,4,18,0,0.781,
"Noelvi MarteNANo new player Notes CIN - 3B,OF Bot 1, 0-2 @ TOR",@ TOR,,FA,63,308,1190,21%,36/190,19,6,15,7,0.55,
"Javier BáezPlayer Note DET - 2B,3B,SS,OF Top 2, 0-0 vs PIT",PIT,,FA,57,1639,1191,3%,43/183,25,3,19,1,0.621,
"Gabriel AriasNo new player Notes CHC - 2B,3B,SS L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,50,1667,1192,0%,34/139,14,5,13,4,0.66,
"Yohendrick PiñangoNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,58,1725,1193,0%,44/169,12,5,20,0,0.702,
"Héctor RodríguezPlayer Note CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,Trust The Process,38,1752,1194,10%,29/132,16,6,14,0,0.666,
Everson PereiraIL10Player Note STL - OF 7:40 pm @ MIL,@ MIL,,FA,38,1764,1195,0%,23/98,10,5,12,1,0.748,
Zac VeenPlayer Note COL - OF 7:40 pm @ CWS,@ CWS,,Ranger danger,35,1772,1196,3%,16/66,10,3,13,2,0.779,
"Yohandy MoralesPlayer Note WSH - 1B,3B Bot 2, 2-1 vs NYM",NYM,,Trust The Process,15,1757,1197,2%,12/43,10,4,10,1,0.93,
Adrian Del CastilloNANo new player Notes AZ - C 9:40 pm @ SD,@ SD,,FA,62,1734,1198,0%,35/179,18,5,24,1,0.562,
"Max SchuemannNAPlayer Note NYY - 2B,3B,SS,OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,42,1753,1199,0%,14/72,17,2,8,3,0.694,
Victor Scott IIPlayer Note STL - OF 7:40 pm @ MIL,@ MIL,,FA,79,1676,1200,1%,31/163,19,2,9,12,0.521,
"Marcelo MayerPlayer Note SF - 2B,3B,SS 10:15 pm vs LAD",LAD,,Trust The Process,73,397,1201,3%,45/211,19,3,22,3,0.584,
"Tommy TroyNANo new player Notes AZ - 2B,OF 9:40 pm @ SD",@ SD,,FA,45,1754,1202,0%,28/129,23,4,9,1,0.638,
Kaelen CulpepperIL10Player Note MIN - SS 8:10 pm vs TEX,TEX,,Ranger danger,31,1741,1203,8%,30/109,15,3,11,1,0.737,
"Harry FordNo new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,37,1792,1204,1%,18/97,16,3,10,3,0.647,
Hunter FeducciaNo new player Notes LAD - C 10:15 pm @ SF,@ SF,,FA,91,1758,1205,0%,48/212,21,3,19,0,0.636,
Victor RoblesNo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,65,1711,1206,0%,34/133,15,0,9,10,0.623,
"Juan BritoPlayer Note CIN - 1B,2B Bot 1, 0-2 @ TOR",@ TOR,,FA,30,1750,1207,0%,24/95,13,3,14,1,0.712,
"Hyeseong KimNAPlayer Note LAD - 2B,SS,OF 10:15 pm @ SF",@ SF,,FA,43,352,1208,1%,30/116,16,1,11,5,0.651,
"Adam FrazierNo new player Notes LAA - 2B,OF 10:10 pm @ SEA",@ SEA,,FA,66,1675,1209,0%,31/129,19,1,13,3,0.664,
"Mitch GarverNANo new player Notes NYY - C L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,50,1746,1210,0%,22/126,17,4,15,1,0.596,
"Tyler CallihanNANo new player Notes PIT - 1B,2B,OF Top 2, 0-0 @ DET",@ DET,,FA,37,1786,1211,0%,20/95,13,3,15,1,0.672,
Logan O'HoppeNANo new player Notes TEX - C 8:10 pm @ MIN,@ MIN,,FA,85,386,1212,2%,55/251,25,4,24,0,0.578,
Freddy FerminNo new player Notes SD - C 9:40 pm vs AZ,AZ,,FA,95,1729,1213,0%,45/228,22,4,21,1,0.578,
Walker JenkinsPlayer Note MIN - OF 8:10 pm vs TEX,TEX,,Joey Spierer's Team,23,1787,1215,12%,16/72,12,4,10,1,0.717,
"Osleivis BasabeDTDPlayer Note SF - 2B,3B,SS 10:15 pm vs LAD",LAD,,Detroit Fastballs,45,1789,1216,1%,26/128,13,5,13,2,0.614,
Victor BericotoPlayer Note SF - OF 10:15 pm vs LAD,LAD,,FA,38,1766,1217,0%,24/103,9,5,15,1,0.672,
Brandon LockridgeNew Player Note MIL - OF 7:40 pm vs STL,STL,,FA,38,1715,1218,0%,27/99,12,0,12,6,0.658,
Austin HaysPlayer Note SD - OF 9:40 pm vs AZ,AZ,,FA,36,1642,1219,0%,26/94,14,3,13,0,0.7,
Joey BartIL10No new player Notes CWS - C 7:40 pm vs COL,COL,,FA,44,1742,1220,0%,24/112,13,4,13,0,0.662,
"MJ MelendezNANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,56,1834,1221,0%,23/120,14,4,11,0,0.665,
Jake RogersNo new player Notes CWS - C 7:40 pm vs COL,COL,,FA,58,1812,1222,0%,23/143,17,4,14,1,0.563,
"Bryan De La CruzNo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,32,1769,1223,0%,21/71,10,2,12,0,0.787,
Nick CastellanosNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,39,1659,1224,1%,22/115,9,4,20,2,0.56,
Grant McCrayNo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,42,1810,1225,0%,11/76,14,2,4,8,0.529,
Turner HillPlayer Note SF - OF 10:15 pm vs LAD,LAD,,FA,32,1791,1226,1%,22/100,12,1,15,2,0.624,
Drew RomoNANo new player Notes CWS - C 7:40 pm vs COL,COL,,FA,60,1871,1227,0%,25/177,17,7,16,1,0.527,
"Giancarlo StantonIL60New Player Note NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Joe Byron,24,296,1228,14%,23/90,8,3,14,1,0.724,
"Braden ShewmakeNANo new player Notes HOU - 2B,3B,SS 9:40 pm @ ATH",@ ATH,,FA,34,1773,1229,0%,22/85,12,3,10,1,0.694,
"Kahlil WatsonNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,Stealth Bomber,27,1761,1230,0%,21/88,6,1,11,9,0.605,
"Abimelec OrtizPlayer Note WSH - 1B,OF Bot 2, 2-1 vs NYM",NYM,,FA,42,1793,1231,3%,24/124,16,5,13,0,0.592,
Josue De PaulaNAPlayer Note LAD - OF 10:15 pm @ SF,@ SF,,Joe Byron,11,1800,1232,13%,10/31,7,1,7,1,1.081,
"Ryan WardNAPlayer Note LAD - 1B,OF 10:15 pm @ SF",@ SF,,FA,20,1798,1234,0%,12/55,8,3,12,0,0.738,
Brian ServenNo new player Notes ATH - C 9:40 pm vs HOU,HOU,,FA,28,1804,1235,0%,14/78,8,5,14,0,0.605,
"Starling MarteNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,59,1690,1236,0%,37/153,15,2,14,2,0.612,
Lazaro MontesPlayer Note SEA - OF 10:10 pm vs LAA,LAA,,Trust The Process,19,1813,1237,4%,10/48,6,4,10,0,0.762,
"Ramón UríasNAPlayer Note STL - 2B,3B 7:40 pm @ MIL",@ MIL,,FA,43,1747,1238,0%,13/86,14,4,9,0,0.586,
Alan RodenPlayer Note MIN - OF 8:10 pm vs TEX,TEX,,FA,31,1778,1239,0%,22/77,7,1,14,0,0.744,
Pavin SmithPlayer Note AZ - 1B 9:40 pm @ SD,@ SD,,FA,37,1737,1240,0%,19/100,11,3,12,2,0.584,
"Charles McAdooNo new player Notes TOR - 1B,2B,3B Bot 1, 2-0 vs CIN",CIN,,Stealth Bomber,34,1788,1241,0%,22/91,10,2,12,2,0.634,
Alek ThomasNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,35,1714,1242,0%,21/113,13,2,13,4,0.554,
Joey LoperfidoNAPlayer Note HOU - OF 9:40 pm @ ATH,@ ATH,,FA,40,1760,1243,0%,22/103,13,1,12,1,0.641,
"Enrique HernándezNo new player Notes LAD - 1B,2B,3B,OF 10:15 pm @ SF",@ SF,,FA,38,1744,1244,1%,18/81,11,3,11,0,0.659,
"Jose TrevinoNo new player Notes CIN - C Bot 1, 0-2 @ TOR",@ TOR,,FA,47,1733,1245,0%,32/148,12,5,19,0,0.558,
Jhonny PeredaNo new player Notes SEA - C 10:10 pm vs LAA,LAA,,FA,29,1767,1247,0%,25/84,11,2,8,0,0.736,
"Ronny SimonPlayer Note PIT - 2B,OF Top 2, 0-0 @ DET",@ DET,,FA,19,1779,1248,0%,16/58,11,1,4,4,0.702,
"Josh RojasNo new player Notes KC - 2B,3B Top 1, Delay vs CLE",CLE,,FA,41,1783,1249,0%,24/101,11,2,14,1,0.615,
Jimmy CrooksNANo new player Notes STL - C 7:40 pm @ MIL,@ MIL,,FA,52,1850,1250,0%,24/134,10,5,14,0,0.591,
Harrison BaderIL60No new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,30,332,1252,1%,18/106,10,5,14,0,0.556,
"Leo JiménezNANo new player Notes MIA - 1B,2B,3B Bot 1, 0-0 vs ATL",ATL,,FA,66,1820,1253,0%,33/166,18,2,14,1,0.565,
Edgar QueroNAPlayer Note CWS - C 7:40 pm vs COL,COL,,FA,69,1735,1254,0%,38/187,14,3,19,1,0.541,
"Luis UríasIL10No new player Notes TOR - 2B,3B Bot 1, 2-0 vs CIN",CIN,,FA,26,1768,1255,0%,13/52,5,3,8,0,0.803,
Jake MeyersIL60Player Note HOU - OF 9:40 pm @ ATH,@ ATH,,FA,57,1699,1257,0%,30/141,15,3,11,1,0.594,
Braxton FulfordNo new player Notes COL - C 7:40 pm @ CWS,@ CWS,,FA,46,1801,1258,0%,13/74,12,1,7,4,0.529,
Lucas SpenceNew Player Note HOU - OF 9:40 pm @ ATH,@ ATH,,FA,16,1824,1259,0%,9/44,7,3,8,0,0.718,
Jesus RodriguezIL60No new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,22,1815,1260,0%,12/51,7,2,8,1,0.728,
"Blake PerkinsNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,55,1784,1261,0%,14/89,14,1,11,3,0.508,
Jase BowenNo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,80,1821,1262,0%,14/92,14,2,7,6,0.457,
"Will BensonNANo new player Notes CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,FA,51,1763,1263,0%,18/96,11,3,6,1,0.643,
Tyler LocklearIL60No new player Notes AZ - 1B 9:40 pm @ SD,@ SD,,FA,15,1799,1264,0%,10/36,8,1,6,1,0.801,
"Joshua Kuroda-GrauerPlayer Note ATH - 2B,3B,SS 9:40 pm vs HOU",HOU,,Joey Spierer's Team,19,1781,1265,2%,25/66,8,1,4,0,0.936,
Pedro PagésNo new player Notes STL - C 7:40 pm @ MIL,@ MIL,,FA,80,1730,1266,0%,40/186,14,4,12,2,0.579,
"Colby ThomasNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,55,1770,1268,0%,23/114,11,4,11,1,0.568,
Yoán MoncadaIL60No new player Notes LAA - 3B 10:10 pm @ SEA,@ SEA,,FA,41,1759,1269,0%,21/111,9,3,10,1,0.605,
Lourdes Gurriel Jr.NAPlayer Note AZ - OF 9:40 pm @ SD,@ SD,,FA,51,1666,1270,1%,39/186,13,2,22,1,0.544,
Eric HaaseNANo new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,29,1828,1271,0%,12/74,8,4,9,0,0.6,
Matt WallnerNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,34,1749,1272,1%,20/120,14,4,10,0,0.551,
"Sterlin ThompsonNANo new player Notes COL - 1B,OF 7:40 pm @ CWS",@ CWS,,FA,27,1823,1273,0%,16/69,7,2,10,0,0.689,
"TJ FriedlNAPlayer Note CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,FA,91,1698,1274,7%,41/239,20,4,13,5,0.51,
"Drew MillasIL60No new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,50,1808,1275,0%,24/130,18,2,11,0,0.539,
Alex JacksonNAPlayer Note MIN - C 8:10 pm vs TEX,TEX,,FA,33,1762,1276,0%,21/69,12,1,5,0,0.748,
"Darell HernaizNANo new player Notes ATH - 2B,3B,SS 9:40 pm vs HOU",HOU,,FA,56,1771,1277,0%,32/137,13,1,9,3,0.593,
"Jonathan IndiaIL60No new player Notes KC - 2B,3B,OF Top 1, Delay vs CLE",CLE,,FA,17,1748,1278,1%,8/48,8,2,8,0,0.623,
"Sean KeysNo new player Notes TOR - 1B,3B Bot 1, 2-0 vs CIN",CIN,,FA,23,1835,1279,0%,11/55,8,2,9,0,0.595,
"Jonatan ClaseIL60No new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,9,1814,1280,0%,6/22,4,2,6,0,0.905,
Max KeplerNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,41,1724,1281,0%,27/132,11,2,15,0,0.565,
"Andrew PinckneyNAPlayer Note WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,17,1836,1282,0%,7/25,7,1,3,1,0.79,
"Billy CookNo new player Notes PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,85,1822,1283,0%,9/51,12,0,2,6,0.443,
"Jake FraleyNAPlayer Note TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,31,1782,1284,0%,19/88,6,2,5,3,0.653,
"Tommy WhitePlayer Note ATH - 1B,3B 9:40 pm vs HOU",HOU,,FA,53,1776,1285,1%,45/180,18,3,9,0,0.597,
"Shay WhitcombPlayer Note SF - 2B,3B 10:15 pm vs LAD",LAD,,FA,46,1841,1286,0%,21/110,8,4,13,0,0.546,
Junior PerezNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,22,1861,1287,0%,6/35,5,3,6,0,0.623,
"Sean MurphyNo new player Notes ATL - C Bot 1, 0-0 @ MIA",@ MIA,,FA,31,1790,1288,2%,17/103,11,3,10,0,0.537,
Michael ArroyoNo new player Notes SEA - 2B 10:10 pm vs LAA,LAA,,FA,12,1858,1289,1%,7/25,4,1,3,1,0.867,
Andrew KniznerNo new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,27,1829,1290,0%,16/68,8,2,4,0,0.689,
"Angel GenaoNo new player Notes CLE - 2B,3B,SS Top 1, Delay @ KC",@ KC,,FA,40,1831,1291,4%,26/123,15,2,6,1,0.569,
"Kevin AlcantaraNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,24,1837,1292,0%,6/25,6,1,6,0,0.646,
Ethan SalasPlayer Note SD - C 9:40 pm vs AZ,AZ,,FA,15,1854,1293,3%,8/35,5,2,5,0,0.707,
"Brewer HicklenNo new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,19,1852,1294,0%,9/35,8,0,3,0,0.795,
"Cody FreemanNo new player Notes TEX - 2B,3B 8:10 pm @ MIN",@ MIN,,FA,33,1794,1295,0%,21/82,8,1,6,1,0.651,
"Nick YorkeNANo new player Notes PIT - 2B,3B Top 2, 0-0 @ DET",@ DET,,FA,40,1825,1296,0%,22/104,7,1,12,1,0.563,
"Nick MadrigalNAPlayer Note TB - 2B Bot 3, 2-0 @ PHI",@ PHI,,FA,19,1839,1297,0%,15/54,8,0,3,1,0.68,
Zach ColeNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,19,1830,1298,0%,8/51,4,3,8,0,0.542,
"Kenny PiperNANo new player Notes TB - C Bot 3, 2-0 @ PHI",@ PHI,,FA,14,1873,1299,0%,2/9,4,1,2,1,0.92,
Rodolfo DuránNANo new player Notes SD - C 9:40 pm vs AZ,AZ,,FA,38,1921,1300,0%,12/82,8,3,8,0,0.527,
Rob RefsnyderNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,53,1797,1301,0%,16/114,9,4,11,0,0.465,
"Austin SlaterNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,28,1805,1302,0%,15/65,6,0,3,4,0.588,
"Romy GonzalezNANo new player Notes BOS - 1B,2B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,19,1719,1303,1%,12/65,7,1,7,1,0.572,
"Nate EatonNAPlayer Note BOS - 3B,OF W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,23,1833,1304,0%,7/48,4,1,6,2,0.543,
"John PeckNo new player Notes DET - 2B,3B,SS Top 2, 0-0 vs PIT",PIT,,FA,22,1889,1305,1%,10/61,3,0,7,5,0.468,
Jordan BeckNo new player Notes COL - OF 7:40 pm @ CWS,@ CWS,,FA,61,339,1306,3%,31/161,15,1,11,2,0.531,
"Cam CauleyNANo new player Notes TEX - 2B,SS,OF 8:10 pm @ MIN",@ MIN,,FA,34,1872,1307,0%,12/58,10,1,1,1,0.626,
"Gage WorkmanNANo new player Notes SD - 3B,SS,OF 9:40 pm vs AZ",AZ,,FA,18,1884,1308,0%,7/41,3,2,8,0,0.586,
Zach DezenzoNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,35,1816,1309,0%,16/75,11,1,3,1,0.587,
Drew CavanaughNo new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,57,1840,1310,0%,31/138,9,1,11,1,0.582,
"Santiago EspinalNANo new player Notes AZ - 2B,3B,OF 9:40 pm @ SD",@ SD,,FA,36,1796,1311,0%,15/56,5,1,7,0,0.651,
Emmanuel RodriguezPlayer Note MIN - OF 8:10 pm vs TEX,TEX,,FA,12,1897,1312,3%,8/41,3,2,5,0,0.689,
"Justin DeanNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,17,1870,1313,0%,3/8,3,0,3,1,1.125,
"Jim JarvisNANo new player Notes ATL - SS Bot 1, 0-0 @ MIA",@ MIA,,FA,38,1856,1314,0%,23/111,10,1,11,0,0.564,
Tyler BlackNANo new player Notes MIL - 1B 7:40 pm vs STL,STL,,FA,9,1848,1315,0%,9/27,2,0,7,0,0.838,
"Eric WagamanNANo new player Notes NYM - 1B,OF Bot 2, 1-2 @ WSH",@ WSH,,FA,26,1743,1316,0%,9/47,5,2,5,0,0.588,
"Tsung-Che ChengNANo new player Notes BOS - 2B,3B,SS W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,14,1862,1317,0%,10/39,7,0,5,0,0.6,
Bryce TeodosioPlayer Note LAA - OF 10:10 pm @ SEA,@ SEA,,FA,40,1832,1318,0%,12/59,5,0,4,5,0.491,
"Rowdy TellezNANo new player Notes ATL - 1B Bot 1, 0-0 @ MIA",@ MIA,,FA,7,1777,1320,0%,2/10,2,1,4,0,0.773,
Bryce JohnsonNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,32,1819,1321,0%,8/45,5,0,2,5,0.451,
Stuart FairchildNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,15,1896,1322,0%,3/19,4,0,1,2,0.565,
"Parker MeadowsIL60New Player Note DET - OF Top 2, 0-0 vs PIT",PIT,,FA,12,1818,1323,0%,9/36,3,0,2,3,0.641,
"Raynel DelgadoNANo new player Notes HOU - 2B,3B,SS 9:40 pm @ ATH",@ ATH,,FA,19,1879,1324,0%,9/37,4,1,4,0,0.651,
"Brett CallahanNo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,31,1898,1325,0%,14/66,3,1,8,0,0.607,
Connor JoeNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,21,1928,1326,0%,7/39,2,1,3,2,0.597,
"Alí SánchezNo new player Notes NYY - C L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,49,1843,1327,0%,20/83,7,1,8,0,0.565,
Tommy PhamPlayer Note CWS - OF 7:40 pm vs COL,COL,,FA,15,1775,1328,0%,3/24,5,1,3,0,0.526,
"Yohel PozoNo new player Notes BAL - C W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,36,1811,1329,0%,14/56,4,1,7,0,0.58,
"Brock RoddenIL10Player Note SEA - 2B,3B,SS 10:10 pm vs LAA",LAA,,FA,30,1916,1330,0%,12/61,8,0,4,0,0.585,
"CJ KayfusNA60No new player Notes CLE - 1B,OF Top 1, Delay @ KC",@ KC,,FA,9,1842,1331,0%,4/22,4,1,2,0,0.644,
